firma_adi;adres;telefon;website;domain;birlik
OYAL METAL CELIK SAN.VE TIC. LTD.STI.;GENÇOSMAN MAH.ÇİNÇİNDERE CAD. TOPÇU SK.NO:4 EYÜP İSTANBUL;02125656669;www.oyalmetal.com;oyalmetal.com;ÇİB - Çelik İhracatçıları Birliği
ONUR DÖKÜM DEKORASYON TİCARET VE SANAYİ LİMİTED ŞİRKETİ;İKİTELLİ OSB MH PİK DÖKÜMCÜLER SAN SİT B2 BLOK NO:13 BAŞAKŞEHİR İSTANBUL;(212) 4853165;www.onurdokum.com;onurdokum.com;ÇİB - Çelik İhracatçıları Birliği
ENDAFON YAPI SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;GAZİ OSMANPAŞA OSB MAH 22 SOK.BERİLAY TEKSTİL NO: 8 ÇERKEZKÖY TEKİRDAĞ;(282) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
BAHADDİN OĞUZTÜRK;TÜRKOBA MH. KOOPERATİFLER CD. NO:29N/7 BÜYÜKÇEKMECE İSTANBUL;(212) 6962524;;;ÇİB - Çelik İhracatçıları Birliği
NOMAD OTOMOTİV YEDEK PARÇA DIŞ TİCARET PAZARLAMA LTD. ŞTİ.;İ.O.S.B. DOLAPDERE SAN.SİT. 24.ADA N:7 BAŞAKŞEHİR İSTANBUL;(212) 6717733;;;ÇİB - Çelik İhracatçıları Birliği
FATİH KELEŞ-ŞAHİ ÇELİK;ADLİYE MAH. ESKİŞEHİR CAD. NO:319 ARİFİYE SAKARYA;(264) 3192470;http://www.sahicelik.com;sahicelik.com;ÇİB - Çelik İhracatçıları Birliği
STEELBOND YAPI TİCARET LİMİTED ŞİRKETİ;ORUÇREİS MAH. TEKSTİLKENT CADDESİ NO.10 AN / 307 ESENLER İSTANBUL;(212) 4384044;;;ÇİB - Çelik İhracatçıları Birliği
YETAŞ MAKİNE İNŞAAT DIŞ TİCARET LİMİTED ŞİRKETİ;ZAFER MAH. ADİLE NAŞİT BLV.HEP İSTANBUL P4 NO:54-58 U28 ESENYURT İSTANBUL;(212) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
ATLAS TRADE TEKNOLOJİ ELEKTRONİK VE OTOMOTİV SANAYİ TİCARET ANONİM ŞİRKETİ;RASİMPAŞA MAHALLESİ SÖĞÜTLÜÇEŞME CADDESİYALÇINKAYA NO:103/8 KADIKÖY İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
BRKKOL ALÜMİNYUM METAL ENDÜSTRİ VE TİCARET LİMİTED ŞİRKETİ;ALTINŞEHİR MH. 163.(280) SK. B BLOK NO 11B İÇ KAPI NİLÜFER BURSA;(224) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
CSA TRADING İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.;YENİDOĞAN MAH. ABDİ İPEKÇİ CAD. 1. EMİNTAŞ SANAYİ SİTESİ O:74/Z22 BAYRAMPAŞA İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
KAYNAK TEKNIGI SANAYI VE TICARET A.S.;TAYSAT ORG SAN BOLG 2. CAD. NO:5 GEBZE KOCAELİ;(262) 0000000;www.askaynak.com.tr;askaynak.com.tr;ÇİB - Çelik İhracatçıları Birliği
ERBİ BAĞLANTI TEKNOLOJİLERİ VE KALIP SAN.TİC.A.Ş.;İNÖNÜ MAH.GEBZE GÜZELLER OSB MAH.FATİH SULTAN MEHMET CD.NO:5/2 GEBZE KOCAELİ;;;;ÇİB - Çelik İhracatçıları Birliği
BURMAR YAPI MALZEMELERİ İNŞAAT TURİZM TEKSTİL NAKLİYE OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YAVUZ SELİM MAH.BARIŞ CAD. NO:22 YILDIRIM BURSA;(224) 3661955;www.burmaryapi.com.tr;burmaryapi.com.tr;ÇİB - Çelik İhracatçıları Birliği
ŞENYUVA ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ;BÜYÜKBAKKALKÖY MH YAKACIK YOLU SK NO:16 MALTEPE İSTANBUL;(216) 3117777;www.senyuva.com;senyuva.com;ÇİB - Çelik İhracatçıları Birliği
TAN GRUP ALÜMİNYUM PLASTİK SAN.VE TİC.LTD.ŞTİ.;ATATÜRK MAHALLESİ ATAŞEHİR BULVARI GARDENYA PLAZA NO:5 KAT:9 ATAŞEHİR İSTANBUL;(216) 4571806;www.tan-grup.com.tr;tan-grup.com.tr;ÇİB - Çelik İhracatçıları Birliği
BEY HAN İNŞAAT ENERJİ MÜH. VE DAN. GIDA HAYVANCILIK İÇ VE DIŞ TİC. LTD.ŞTİ;BEYTEPE MAH. KAYHAN GÜVEN CAD. NO: 47 BEYPAZARI ANKARA;(312) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
GURSAN ALÜMİNYUM DIŞ TİCARET LİMİTED ŞİRKETİ;AKÇABURGAZ MH ALKOP SAN SİT 1575 SK C7 BLOK NO:21-22 ESENYURT İSTANBUL;(212) 8580161;www.gursan.com.tr;gursan.com.tr;ÇİB - Çelik İhracatçıları Birliği
TORUN METAL ANONİM ŞİRKETİ;GEBZE ORG.SAN.BLG.IHSAN DEDECD .NO:116 GEBZE KOCAELİ;(262) 6771500;www.torunmetal.com;torunmetal.com;ÇİB - Çelik İhracatçıları Birliği
ABDULLAH ALTINAR;KÖSELER MAH GEBZE CAD NO:179 BÜFE01 DİLOVASI KOCAELİ;(262) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
