firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
GÜRDESAN GEMİ MAKİNA SANAYİ VE TİCARET A.Ş.;DILOVASI ORG SAN BOLGESI 4.KISIM D-4106 NO:1;KOCAELI;GEBZE;02627248241;www.gurdesan.com.tr;gurdesan.com.tr;İİB-GEMİ
MARİS DENİZ ÇEVRE SAN.VE TİC.LTD.ŞTİ.;ALTKAYNARCA MAH.KAFKAS SOKAK NO:38/A;İSTANBUL;PENDİK;(216) 4916092;www.marisenvironmetal.com;marisenvironmetal.com;İİB-GEMİ
TEKFEN İNŞAAT VE TESİSAT AŞ;ULUS MAH.TEKFEN SİTESİ B BLOK;İSTANBUL;BEŞİKTAŞ;(212) 3593500;;;İİB-GEMİ
ENSAR GEMI VE YAN SANAYI ANONIM SIRKETI;İSTASYON MAH. 1495/2. SOK. NO:1;KOCAELI;GEBZE;02163958162;www.ensargemi.com;ensargemi.com;İİB-GEMİ
AKAR DENİZ TAŞ. VE TİC. AŞ;KISIKLI MAH. ALEMDAĞ CAD. AKAR GRUP NO:19/1;İSTANBUL;ÜSKÜDAR;(216) 5052500;;;İİB-GEMİ
VENÜS İNTERNATİONAL POLİMER PLASTİK TEKSTİL SAN. VE TİC. A.Ş.;ESENTEPE MAH.TALAT PAŞA CAD. 5/1;İSTANBUL;ŞİŞLİ;(212) 3561596;;;İİB-GEMİ
AKÇIÇEK MARIN DENIZCILIK SERVIS YEDEK PARÇA SANAYI VE TICARET LIMITED SIRKETI;CAMIKEBIR MAH. IZMIR CAD. NO: 95 B ;İZMİR;SEFERİHİSAR;(232) 7436618;http://www.akcicek.com;akcicek.com;İİB-GEMİ
GÜLNAK DENİZCİLİK NAK. VE TİC.A.Ş;ATATÜRK CAD. NO:378 D61;İZMİR;KONAK;(232) 1636995;;;İİB-GEMİ
MARİNEHİTEK DENİZCİLİK DANIŞMANLIK VE TİC. LTD.ŞTİ;ZİYA GÖKALP MAH.SÜLEYMAN DEMİREL BULV.THE OFFİCE APT. NO:7 E /136;İSTANBUL;BAŞAKŞEHİR;;;;İİB-GEMİ
MUAMMER YAĞIZ;İÇERENKÖY MAH TABİAT SOK KARGIN İŞ MERKEZİNO 14/4;İSTANBUL;ATAŞEHİR;(216) 4691777;;;İİB-GEMİ
EPIC DENİZCİLİK VE GEMİ İNŞ.A.Ş;AHİLYOLU BULVARI KUNYE SOK NO:3 D:2 GÜZELYALI ;İSTANBUL;PENDİK;(216) 4945011;;;İİB-GEMİ
PROMAN TEKNİK MÜHENDİSLİK HİZMETLERİ SAN VE TİC.LTD.ŞTİ;BOSTANCI MAH. YAZMACI TAHİR SOK BOSTANCI APT NO:51A/1;İSTANBUL;KADIKÖY;;;;İİB-GEMİ
