firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
AKTİF BESİN A.Ş;İKİTELLİ OSB MAH.MİLAS CAD. NO:1/10;İSTANBUL;BAŞAKŞEHİR;(216) 5142417;https://takehiq.com/;takehiq.com;İİB-SU ÜRÜNLERİ
BUPİLİÇ ENTEGRE GIDA SAN. TIC. A.Ş.;BALIKESIR ASFALTI 10.KM;BALIKESIR;BANDIRMA;(266) 7338725;www.bupilic.com.tr;bupilic.com.tr;İİB-SU ÜRÜNLERİ
KESİMHANE HAYVANCILIK VE TAR. ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.;SIRAMEŞELER MAH.MUDANYA CAD.OKUL SOK.NO:5;BURSA;OSMANGAZİ;(224) 2353739;www.gurtav.com;gurtav.com;İİB-SU ÜRÜNLERİ
BOLCA HİNDİ ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ;BOLCA HINDI TESISLERI DOĞANCI MAH. MUDURNU CAD. NO:61;BOLU;MERKEZ;(374) 2534848;www.bolcahindi.com.tr;bolcahindi.com.tr;İİB-SU ÜRÜNLERİ
ISTANBUL GIDA SAN.VE TIC.A.Ş.; MİMARSİNANMAH ESKİ SİLİVRİ CAD. NO:8/2;İSTANBUL;BÜYÜKÇEKMECE;(212) 8614343;www.yurtkonserve.com.tr;yurtkonserve.com.tr;İİB-SU ÜRÜNLERİ
KESKİNOĞLU TAVUKÇULUK VE DAMIZLIK İŞLETMELERİ SANAYİ TİCARET ANONİM ŞİRKETİ;KAYALIOĞLU KASABASI;MANISA;AKHİSAR;(236) 4272570;www.keskinoglu.com.tr;keskinoglu.com.tr;İİB-SU ÜRÜNLERİ
FİMAR MERMER MADENCİLİK İNŞAAT AKARYAKIT TURZ. TAR. SERA. HAY. GIDA ÜRÜNLERİ TİCARET SANAYİ A.Ş.;ATATÜRK CAD. ESKİ SANAYİ KARŞISI KAPTANLAR SİTESİ NO:4;SIVAS;SİVAS;(346) 2225000;www.fimar.com.tr;fimar.com.tr;İİB-SU ÜRÜNLERİ
İNTERASYA DIŞ TİC.A.Ş;EBUSUUD CAD. TELLİOĞLU İŞHANI 36/3;İSTANBUL;FATİH;(212) 5271883;www.taskent.biz;taskent.biz;İİB-SU ÜRÜNLERİ
BANVİT BANDIRMA VİTAMİNLİ YEM SAN. A. Ş.;BALIKKESIR ASFALTI 8.KM;BALIKESIR;BANDIRMA;02667338600;www.banvit.com;banvit.com;İİB-SU ÜRÜNLERİ
SAMSUN BALIKÇILIK SU ÜRÜNLERİ HAYVANCILIK İNŞAAT TURİZM PLASTİK MEŞRUBAT SAN.VE TİC.LTD.ŞTİ.;KIRAN MAH.TOYBELEN YOLU 11. KM NO:328/2;SAMSUN;İLKADIM;(362) 4200843;www.kiyakkardesler.com.tr;kiyakkardesler.com.tr;İİB-SU ÜRÜNLERİ
YÖRÜKOĞLU SÜT VE ÜR.SAN.TİC.A.Ş.;ORGANIZE SANAYI BÖLGESI 2.CAD.;ANTALYA;DÖŞEMEALTI;(242) 2581135;www.yorukoglusut.com.tr;yorukoglusut.com.tr;İİB-SU ÜRÜNLERİ
KOÇBEY SU VE MEŞRUBAT PAZ.SAN.TİC.A.Ş;GÜLDİBİ MAH.GÜNDOĞDU CAD. NO:10;SAKARYA;SAPANCA;(264) 5828600;www.fuska.com.tr;fuska.com.tr;İİB-SU ÜRÜNLERİ
ALPAK GIDA BAHARAT VE AMB. SAN. TİC. LTD ŞTİ;ADNAN KAHVECİ MAH. DAVUTPAŞA CAD. NO:23 İÇ KAPI NO:1 :Ç2/A;İSTANBUL;BEYLİKDÜZÜ;(212) 6594763;https://alpak.com.tr/;alpak.com.tr;İİB-SU ÜRÜNLERİ
MAHİR BEDİR İNŞ. VE DIŞ TİC. SAN. TİC. LTD. ŞTİ.;ZAMBAK SK NO 31/4;İSTANBUL;MALTEPE;(216) 5180383;www.bedirinsaat.com;bedirinsaat.com;İİB-SU ÜRÜNLERİ
ÖNEN GIDA SANAYİ ANONİM ŞİRKETİ;KEPEZ BELDESİ BOĞAZKENT MAH. ATATÜRK CAD. NO:51;ÇANAKKALE;MERKEZ;(286) 2620160;http://www.dardanel.com.tr;dardanel.com.tr;İİB-SU ÜRÜNLERİ
METİN ZAFER PAZ. VE DIŞ TİCARET LTD.ŞTİ.;ORDU CD.LALELI IŞ MERKEZINO:89/604;İSTANBUL; ;(212) 5178096;www.metinzafer.com;metinzafer.com;İİB-SU ÜRÜNLERİ
ENKA SÜT VE GIDA MAMÜLLERİ SAN.TİC.A.Ş.;SEDİRLER ÇIKIŞI  ADANA ÇEVREYOLU P.K.8;KONYA;KARATAY;(332) 3552300;www.enkasut.com.tr;enkasut.com.tr;İİB-SU ÜRÜNLERİ
ARBEY GIDA SANAYİ TİCARET ANONİM ŞİRKETİ;ATATÜRK MH.ATAPARK CD.TRENDIST ATAŞEHIR SİT.A3 BL..N:3/1/16;İSTANBUL;ATAŞEHİR;(216) 0000000;www.arbeygida.com;arbeygida.com;İİB-SU ÜRÜNLERİ
HAZER BABA GIDA SAN.IÇ VE DIŞ TIC. LTD.ŞTI.;KEMAL TÜRKLER MAH. SÜMER CAD.HANIMELİ SOK.NO:43;İSTANBUL;SANCAKTEPE;(216) 6222355;www.hazerbaba.com;hazerbaba.com;İİB-SU ÜRÜNLERİ
FİSHLİME SU ÜRÜNLERİ GIDA SANAYİ İTHALAT VE İHRACAT ANONİM ŞİRKETİ;ATARİYE MAHALLESİ SIRMA CADDESİ NO:70;BURSA;MUSTAFAKEMALPAŞA;(224) 6133313;http://www.fishlime.com;fishlime.com;İİB-SU ÜRÜNLERİ
SBS BİLİMSEL BİO ÇÖZÜMLER SAN.VE TİC. A.Ş;REŞİTPAŞA MAH. KATAR CAD.MOTORLU TAŞITLAR LAB.. BİNASI NO:2/10/1 ;İSTANBUL;SARIYER;(212) 2852426;www.sbs-turkey.com;sbs-turkey.com;İİB-SU ÜRÜNLERİ
KOÇAKLAR GIDA-ORMAN ÜRÜNLERİ-MOBİYA SAN. VE TİC. LTD. ŞTİ.;MAHMUDİYE M. ERTUĞRUL GAZİ C.NO:103;BURSA;İNEGÖL;(224) 7160330;www.kocakkoltuk.com;kocakkoltuk.com;İİB-SU ÜRÜNLERİ
ÇALIŞIR ET ÜRÜNLERİ SAN. VE DIŞ TİC. LTD. ŞTİ.; YAKUPLU MERKEZ MAH. MAREŞAL FEVZİ ÇAKMAK CD. NO 6 ;İSTANBUL;BEYLİKDÜZÜ;;www.calisiret.com;calisiret.com;İİB-SU ÜRÜNLERİ
HASTAVUK GIDA TARIM HAYVANCIL. SAN. VE TIC. A.Ş.;BALKAN MAH. HASANAĞA CAD. NO:8/1;BURSA;NİLÜFER;(224) 4702700;www.hastavuk.com.tr;hastavuk.com.tr;İİB-SU ÜRÜNLERİ
CALLUT TARIM TURIZM VE SU ÜRÜN ITH.IHR.SAN TIC LTD ŞTI.;TOLCA MAH. 113706. SOK.NO:21;KONYA;HÜYÜK;(232) 9995676;www.callut.com;callut.com;İİB-SU ÜRÜNLERİ
AK PİLİÇ TİCARET LİMİTED ŞİRKETİ;YENİ AKÇAKAVAK KÖYÜ TAŞBAŞI MEVKİİNO:3;BOLU;BOLU;(374) 2438485;www.akpilic.com.tr;akpilic.com.tr;İİB-SU ÜRÜNLERİ
HATKO TEKNİK DONANIMLAR MÜMESSİLLİK VE TİC. AŞ;MAÇKA ACISU SOK.TAŞLIK AP.19/C;İSTANBUL;BEŞİKTAŞ;(212) 2589983;www.hatkoaquaculture.com;hatkoaquaculture.com;İİB-SU ÜRÜNLERİ
LEROY TURKEY  SU ÜRÜN. SAN. VE TIC. A.Ş.;ATATÜRK MAH.SEDAF CAD. ATA 4-5B NO:31 DAİRE 7;İSTANBUL;ATAŞEHİR;(216) 6290685;www.leroy.com.tr;leroy.com.tr;İİB-SU ÜRÜNLERİ
