firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
EKMEKÇIOĞLU GIDA VE KURUYEMIŞ SAN. TIC. A.Ş;ADNAN KAHVECİ MAH.AVRUPA CAD.NO:72;İSTANBUL;BEYLİKDÜZÜ;(212) 8559595;www.ekmekcioglu.com.tr;ekmekcioglu.com.tr;İİB-KURU MEYVE
MESA İÇ VE DIŞ TİC.LTD.ŞTİ;YEŞİLBAYIR MAHALLESİ 29 MAYIS CAD. NO: 19 A/1;İSTANBUL;ARNAVUTKÖY;(212) 8861508;www.mesagida.com;mesagida.com;İİB-KURU MEYVE
HATKİM KİMYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;KASAP SOK.NO:16 A BLOK D.34;İSTANBUL; ;(212) 2758835;;;İİB-KURU MEYVE
SAGRA GRUP GIDA ÜRETİM VE TİC AŞ;İÇERENKÖY MH ERTAÇ SK NO 2/7;İSTANBUL;ATAŞEHİR;(216) 0000000;;;İİB-KURU MEYVE
REPEKS İTH. İHR. VE DAHİLİ TİC. LTD. ŞTİ.;İDEALTEPE KÜÇÜKTUR YOLUNO:10/1;İSTANBUL;KADIKÖY;;;;İİB-KURU MEYVE
GEN ERA DİAGNOSTİK SAĞLIK HİZMETLERİ ANONİM ŞİRKETİ;BARBAROS MAH. ÇİĞDEM SOK NO:1 D:19 MY OFFİCE İŞ MERK.BATI ATAŞEHİR;İSTANBUL;ATAŞEHİR;(216) 4555822;www.gen-era.com.tr;gen-era.com.tr;İİB-KURU MEYVE
MORE FOOD GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İKİTELLİ OSB 25 CADDE NO 14/1;İSTANBUL;BAŞAKŞEHİR;(212) 4857676;;;İİB-KURU MEYVE
SABAH ŞEKERLEME SAN VE TİC LTD ŞTİ;YEŞİLKÖY MH ATATÜRK CD EGS BUSINESS PARK NO 12/1;İSTANBUL;BAKIRKÖY;(212) 6535454;;;İİB-KURU MEYVE
PEYMAN KURUYEMIŞ GIDA AKTARIYE KIM.MAD.TAR.ÜRN.SAN.VE TIC.A.Ş;KAZIMDİRİK MH. 282/1 SK.NO:6 K:1 D:101;İZMİR;BORNOVA;(232) 4722204;www.peyman.com.tr;peyman.com.tr;İİB-KURU MEYVE
URGANCI GIDA TURİZM İNŞAAT SAN. VE DIŞ TİC. LTD. ŞTİ.;BAŞAKŞEHİR İKİTELLİ OSB MAH.ÇORAPÇILAR C BLOK  SOK: 17-18 ;İSTANBUL;BAŞAKŞEHİR;(212) 4858090;www.urganci.com.tr;urganci.com.tr;İİB-KURU MEYVE
