firma_adi;adres;telefon;website;domain;birlik
AKAR MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;BEYLİKDÜZÜ MERMERCILER SAN. SIT. 2.CADNO.15 BEYLİKDÜZÜ İSTANBUL;(212) 8751590;www.aksoylarmermer.com;aksoylarmermer.com;İMİB - İstanbul Maden İhracatçıları Birliği
AKCAN MOZAİK MÜTEAHHİTLİK GIDA İNŞ. İTH. İHR. SAN. VE TİC. A.Ş.;ZAFER MAH. ÇEVRE YOLU ORTAKOL MEVKİİZİRAAT DEPOLARI ARKASI MERKEZ TEKİRDAĞ;(282) 2613434;www.akcanmozaik.com.tr;akcanmozaik.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AKDENİZ MİNERAL KAYNAKLARI ANONİM ŞİRKETİ;CUMHURİYET CAD. SELBAŞI SOK. NO:14/5 HARBİYE ŞİŞLİ İSTANBUL;(212) 3434108;www.akdenizmineral.com.tr;akdenizmineral.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AK-EL MERMER MADEN.NAKL.INŞ.TA SAN.VE TIC.LTD.ŞTI.;SERÇEÖNÜ MAH.AHMETPAŞA CAD.ÇIÇEK IŞMERKEZI NO:14/14 KOCASİNAN KAYSERİ;03522213732;www.akelmermer.com.tr;akelmermer.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AK-EN MADENCİLİK TURİZM İNŞAAT İTHALAT İHRACAT SANAYİ VE TİCARET LTD.ŞTİ.;HOŞDERE CAD. NO:143/9 ÇANKAYA ANKARA;(312) 4430213;www.akenmadencilik.com;akenmadencilik.com;İMİB - İstanbul Maden İhracatçıları Birliği
AKFEN INSAAT TURIZM VE TIC.A.S;KOZA SOKAK NO.22 ÇANKAYA ANKARA;(312) 4414211;www.akfen.com.tr;akfen.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AKIM METAL SANAYİ VE TİCARET ANONİM ŞİRKETİ;BEYLİKBAGI MAH. MEMİŞOGLU CAD.326/2 SOK.NO.4/A GEBZE KOCAELİ;(262) 7431492;www.akplas.com.tr;akplas.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AKIN ALÜMİNYUM PLASTİK DOĞ.SAN VE TİC.LTD.ŞTİ;YENI M.GENERAL KANI ELITEZ SOK. NO.32 BAKIRKÖY İSTANBUL;02125707154;www.akinaluminyum.com;akinaluminyum.com;İMİB - İstanbul Maden İhracatçıları Birliği
AK-İŞ BOYA SANAYİİ VE TİCARET ANONİM ŞİRKETİ;DEMIRTAŞ ORG. SAN. BÖLG. ALIOSMAN SÖNMEZ CAD. NO:4 OSMANGAZİ BURSA;02242610537;akisboya.com.tr;akisboya.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AKKİM MATBAACILIK VE KİMYA SAN. TİC. LTD. ŞTİ.;MERMERCİLER SAN.SİTESİ 2.CADDENO:1 BEYLİKDÜZÜ İSTANBUL;(212) 8762770;www.akkimmat.com;akkimmat.com;İMİB - İstanbul Maden İhracatçıları Birliği
AKKOZA METAL SANAYİ TİCARET LTD.ŞTİ.;BARIŞ MAH. BELEDİYE VAD. N:30 GİNZA LAVİNYA PART SİT. B BLOK K:7/140 BEYLİKDÜZÜ İSTANBUL;(216) 6644324;www.akkozametal.com.tr;akkozametal.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AKM METALURJİ SANAYİ TEMSİLCİLİK VE DIŞ TİCARET LİMİTED ŞİRKETİ;İTOSB, İSTANBUL TUZLA ORGANİZE SAN. BÖL. 2.CADDE NO:13 TEPEÖREN TUZLA İSTANBUL;(216) 4673140;www.akm.com.tr;akm.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
