firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
C.P.STANDART GIDA SAN.VE TIC. A.Ş.;DİKİLİTAŞ MAH.BÜYÜKDERE CAD.AKINCI BAYIRI SOKAK NO:6;İSTANBUL;ŞİŞLİ;(212) 2748536;www.cpturkiye.com;cpturkiye.com;İİB-KURU MEYVE
V T TRAVEL PLUS TURZ. VE DIŞ TİC.LTD.ŞTİ;ÇATAL SK. NO:7/3 ŞENLİKKÖY MH.;İSTANBUL;BAKIRKÖY;(212) 4584746;tr.vttravelplus.com;tr.vttravelplus.com;İİB-KURU MEYVE
KİZİROĞLU GIDA SANAYİ VE TİCARET A.Ş;AKÇABURGAZ MAH.3040 SOK. NO: 29;İSTANBUL;ESENYURT;(212) 8866980;www.kiziroglu.com;kiziroglu.com;İİB-KURU MEYVE
İSTANBUL FINDIK SANAYİ VE TİCARET A.Ş.;RASIMPAŞA MH. FİSKOBİRLİK CAD. NO:69-A;SAKARYA;HENDEK;(264) 6148500;www.istanbulfindik.com.tr;istanbulfindik.com.tr;İİB-KURU MEYVE
KORKMAZLAR GIDA VE TAŞIMACILIK SAN. VE TIC. A.Ş.;BANKALAR CAD.NO:11/2;KÜTAHYA;TAVŞANLI;(274) 6141233;www.korkmazleblebi.com;korkmazleblebi.com;İİB-KURU MEYVE
ABEY GIDA TURİZM VE DIŞ TİC.A.Ş.;ACIBADEM MAH.ACIBADEM CAD NO:127 B/2;İSTANBUL;ÜSKÜDAR;(216) 3257778;http://www.chicolatte.com;chicolatte.com;İİB-KURU MEYVE
NAFİA GIDA KOZMETİK TEMİZLİK  İNŞ. TURZ.SAN.VE TİC.LTD.ŞTİ;MAHMUTBEY İSTOC TİC.MERK.45 ADA NO:29-31-33;İSTANBUL;BAĞCILAR;(212) 6590991;www.afia.com.tr;afia.com.tr;İİB-KURU MEYVE
TEORİ MÜHENDİSLİK ASANSÖR SAN. VE TİC. LTD. ŞTİ.;"EYÜP SULTAN MAHALLESİ, İBNİ SİNA CADDESİ NO. 33 ";İSTANBUL;SANCAKTEPE;(216) 6615363;www.teorimuhendislik.com;teorimuhendislik.com;İİB-KURU MEYVE
FC TRADİNG DIŞ TİCARET LİMİTED ŞİRKETİ;BALAT MAH. HIZIR ÇAVUŞ MESCİDİ SOK NO:40A;İSTANBUL;FATİH;(212) 0000000;www.fresshappleturkey.com;fresshappleturkey.com;İİB-KURU MEYVE
VARİOLİNE İSTANBUL DIŞ TİC.A.Ş;ÇAYIR CAD.ÖZCE CENTER NO:3/7;İSTANBUL;ATAŞEHİR;(216) 5728282;www.varioline.com.tr;varioline.com.tr;İİB-KURU MEYVE
BENMARK GIDA SAN GİRİŞİM A.Ş;ADNAN KAHVECİ MAH. KÖROĞLU CAD. NO:65/2-3 (34528);İSTANBUL;BEYLİKDÜZÜ;(212) 5150717;www.benmark.com.tr;benmark.com.tr;İİB-KURU MEYVE
SEGLOBAL LOJİSTİK GIDA DAN. SAN. İÇ VE DIŞ TİC. LTD. ŞTİ.;MAHMUTBEY MAH.TAŞOCAĞI YOLU CAD. B BLOK SİTESİAĞAOĞLU MY OFFİCE NO:3 İÇ KAPI:236;İSTANBUL;BAĞCILAR;(212) 0000000;www.sglobal.com.tr;sglobal.com.tr;İİB-KURU MEYVE
N TATLIM ÜRETİM PAZ.GIDA TURİZM DAĞITIM İÇ VE DIŞ TİC.LTD.ŞTİ.;YEŞİLCE MAH.BARBAROS CAD.NI:77 KAT1-2;İSTANBUL;KAĞITHANE;(212) 2691515;www.ntatlim.com.tr;ntatlim.com.tr;İİB-KURU MEYVE
ÖZÜM GIDA SAN. TIC. A.Ş.;MERKEZ BÖLCEK KÖYÜ TAVŞANLIYOLU 3 KM;KÜTAHYA;MERKEZ;(274) 2311277;www.ozumgida.com.tr;ozumgida.com.tr;İİB-KURU MEYVE
ALFA LOJİSTİK SAN VE TİC.LTD.ŞTİ.;ZUHURATBABA MAH. LEVENTLER SOK  NO:6;İSTANBUL;BAKIRKÖY;(212) 0000000;www.alfalojistik.com;alfalojistik.com;İİB-KURU MEYVE
PERVARİ GIDA İTH. İHR. VE PAZ. TİC. LTD. ŞTİ.;12.SK MEGA CENTER İŞ MRK. A BLOK NO:467;İSTANBUL;BAYRAMPAŞA;(212) 6409983;www.pervarigida.com;pervarigida.com;İİB-KURU MEYVE
İO40 FİNANSAL TEKNOLOJİLER ANONİM ŞİRKETİ;İDEALTEPE MAHALLESİ DİK SOKAK NO 13/2 ;İSTANBUL;MALTEPE;(216) 6064099;http://io40.tr;io40.tr;İİB-KURU MEYVE
