firma_adi;adres;telefon;website;domain;birlik
RAVAGO EPS KİMYA ANONİM ŞİRKETİ;;;http://www.ravagopetrokimya.com;ravagopetrokimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
KOROZO DIŞ TİCARET ANONİM ŞİRKETİ;;;www.korozo.com;korozo.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BETEK BOYA VE KİMYA SAN.A.Ş.;;;www.betek.com.tr;betek.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EGGER DEKOR ANONİM ŞİRKETİ;;;www.romaplastik.com;romaplastik.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
REKSOİL PETROKİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.rexoil.com.tr;rexoil.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SANOFİ İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.sanofi.com.tr;sanofi.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
İSKENDERUN DEMİR VE ÇELİK A.Ş.;;;www.isdemir.com.tr;isdemir.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
KAYALAR KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.kayalarkimya.com.tr;kayalarkimya.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TRELLEBORG İSTANBUL ENDÜSTRİYEL HORTUMLAR SAN. VE TİC. A.Ş.;;;www.trelleborg.com;trelleborg.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
İGSAŞ İSTANBUL GÜBRE SANAYİİ ANONİM ŞİRKETİ;;;www.igsas.com.tr;igsas.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
GENSENTA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.mn.com.tr;mn.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
DEMKA PLASTİK ZÜCCACİYE TİCARET LİMİTED ŞİRKETİ;;;www.demirelplastik.com;demirelplastik.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
POLİFARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.polifarma.com.tr;polifarma.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CURİUM NÜKLEER TIP ANONİM ŞİRKETİ;;;www.monrol.com;monrol.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
NİSHANE İSTANBUL TASARIM ORG. TURZ. TİC. VE SAN. A.Ş.;;;www.nishane.com;nishane.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AROMSA BESİN AROMA VE KATKI MADDELERİ SAN. VE TİC. A.Ş.;;;www.aromsa.com.tr;aromsa.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
FIRAT PLASTİK KAUÇUK SANAYİİ VE TİCARET ANONİM ŞİRKETİ;;;www.firat.com;firat.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EGE PROFİL TİCARET VE SANAYİ ANONİM ŞİRKETİ;;;www.deceuninck.com;deceuninck.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
IFF AROMA ESANS SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.iff.com;iff.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
PLASTAY KİMYA SANAYİ VE TİCARET A.Ş.;;;www.plastay.com;plastay.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
PETROL OFİSİ ANONİM ŞİRKETİ;;;www.petrolofisi.com.tr;petrolofisi.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BAKIRSÜLFAT KİMYA SAN. VE TİC. A.Ş.;;;www.bakirsulfat.com;bakirsulfat.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
VİBRACOUSTİC ÇERKEZKÖY OTO PARÇALARI DIŞ TİCARET ANONİM ŞİRKETİ;;;www.trelleborg.com;trelleborg.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
MEFAR ILAC SANAYII A.S.;;;www.mefar.com;mefar.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
DEHA YALITIM ENDÜSTRİ SAN.TİC. A.Ş.;;;www.dehaindustry.com;dehaindustry.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
MOBIL OIL TURK A.S.;;;www.exxonmobil.com;exxonmobil.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
İBA KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.iba.com.tr;iba.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ASD LAMİNAT ANONİM ŞİRKETİ;;;http://www.asdlaminat.com;asdlaminat.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EYFEL KOZMETİK ANONİM ŞİRKETİ;;;www.eyfelparfum.com.tr;eyfelparfum.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SUBOR BORU SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.subor.com.tr;subor.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TGS DIŞ TİC. AŞ;;;www.tgsas.com;tgsas.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BERİCAP KAPAK SANAYİ ANONİM ŞİRKETİ;;;www.bericap.com;bericap.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CHRYSO-KAT KATKI MALZEMELERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.chryso.com.tr;chryso.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ERKUL KOZMETİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.goldenrose.com.tr;goldenrose.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
KLÖCKNER PENTAPLAST GEBZE AMBALAJ MADDELERİ A.Ş.;;;www.farmamak.com.tr;farmamak.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
MKS MARMARA ENTEGRE KIMYA SAN. A.S.;;;www.mksmarmara.com;mksmarmara.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
IŞILPLAST PLASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.siesta.com.tr;siesta.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
HAYAT KİMYA SAN. AŞ;;;www.hayat.com.tr;hayat.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AKPA ORGANİK PEROKSİT KİMYA SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;;;www.akpakimya.com;akpakimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BAERLOCHER KİMYA SANAYİ TİCARET LİMİTED ŞİRKETİ;;;www.baerlocher.com;baerlocher.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ARGON KİMYA SAN. VE TİC. AŞ;;;www.argon.com.tr;argon.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
KALE KAYIŞLARI SANAYİ DIŞ TİCARET A.Ş.;;;www.kaleconveyor.com;kaleconveyor.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ASTS PROFIL MUHENDISLIK VE PLASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.astsprofile.com;astsprofile.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AMCOR FLEXIBLES İSTANBUL AMBALAJ SAN.VE TİC.A.Ş.;;;www.amcor.com;amcor.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SORA KOZMETİK SANAYİ TİCARET ANONİM ŞİRKETİ;;;www.soracosmetics.com;soracosmetics.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
COSTER AEROSOL VALF SANAYI A.S;;;www.avlcoster.com;avlcoster.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EREĞLİ DEMİR VE ÇELİK FABRİKALARI. TİC. A.Ş.;;;www.erdemir.com.tr;erdemir.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ENDEKS KİMYA SAN. VE TİC. A.Ş.;;;www.endekskimya.com;endekskimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ARCPLAST PLASTİK SANAYİ ANONİM ŞİRKETİ;;;www.arcplast.com.tr;arcplast.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
FLOKSER KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;http://www.flokserkimya.com.tr;flokserkimya.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SOUDAL YAPI KİMYASALLARI SAN. VE TİC. A.Ş.;;;www.soudal.com;soudal.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TSM BRANDS KOZMETİK DIŞ TİCARET ANONİM ŞİRKETİ;;;www.tsmbrands.com;tsmbrands.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TANRIKULU PLASTİK SAN. VE TİC. A.Ş.;;;www.tanrikulu.com.tr;tanrikulu.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ÇIĞIR KİMYA SAN. VE TİC. AŞ;;;www.new-silver.com;new-silver.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CLARIANT (TÜRKİYE) BOYA KİMYEVİ MADDELER VE MADENCİLİK SAN. VE TİC. AŞ;;;www.clariant.com;clariant.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
GENFAR İLAÇ VE GIDA SANAYİ TİCARET İTHALAT İHRACAT LİMİTED ŞİRKETİ;;;www.atabay.com;atabay.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
PRO-PACK PLASTIK AMBALAJ VE MAKINA SAN.TIC.A.S.;;;www.pro-pack.com.tr;pro-pack.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ALFA KİMYA ANONİM ŞİRKETİ;;;www.alfakimyaas.com;alfakimyaas.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TAM HANGERS TK ASKI SAN. VE TİC. LTD. ŞTİ.;;;www.tamplastik.com;tamplastik.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ASFARMA MEDİKAL DENTAL ÜRÜNLER VE İLAÇ SAN. TİC. A.Ş.;;;www.asfarma.com;asfarma.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA ANONİM ŞİRKETİ;;;www.isikplastik.com.tr;isikplastik.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
HEPŞEN KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.hepsenkimya.com.tr;hepsenkimya.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AKRİPOL KİMYA SANAYİ TİCARET ANONİM ŞİRKETİ;;;www.akripolkimya.com;akripolkimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ORKOM MADENCİLİK A.Ş.;;;www.mnggold.com;mnggold.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
POLİBAK PLASTİK FİLM SAN. VE TİC. A.Ş.;;;www.polibak.com.tr;polibak.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ATABAY KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.atabay.com;atabay.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
İKON AMBALAJ OFSET MATBAA VE İNŞAAT SANAYİ TURİZM TİCARET ANONİM ŞİRKETİ;;;www.ikonambalaj.com.tr;ikonambalaj.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
DALAN KİMYA ENDÜSTRİ ANONİM ŞİRKETİ;;;www.dalan.com.tr;dalan.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
GENTAŞ KİMYA SANAYİ VE TİCARET PAZARLAMA A.Ş.;;;www.gentaskimya.com;gentaskimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
NEDEX KİMYA SAN. VE TİC. A.Ş.;;;www.nedexgroup.com.tr;nedexgroup.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ASAŞ ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.asastr.com;asastr.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TEKNO KAUÇUK SANAYİİ ANONİM ŞİRKETİ;;;www.teknokaucuk.com;teknokaucuk.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SOMA KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.somakimya.com;somakimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
PLASMAR PLASTİK VE KİMYA SAN VE DIŞ TİC A.Ş.;;;www.plasmar.com.tr;plasmar.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
PLASTİFAY KİMYA ENDÜSTRİSİ ANONİM ŞİRKETİ;;;www.plastifay.com.tr;plastifay.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BENO PLASTİK AMBALAJ VE KALIP SANAYİ TİCARET ANONİM ŞİRKETİ;;;www.benoplast.com;benoplast.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
