firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
EKONOMI ALIŞVERIŞ HIZ.TIC.VE SAN.A.Ş; HÜKÜMET CAD.NO:354;TEKIRDAĞ;MERKEZ;(282) 2613946;www.ekonomi.com.tr;ekonomi.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
DSM ONLİNE TEKNOLOJİ HİZMETLERİ LİMİTED ŞİRKETİ;ALEMDAĞ MAH. ŞAİR MEHMET AKİF ERSOY CAD. NO:7/2;İSTANBUL;ÇEKMEKÖY;(216) 3112241;http://www.dekorex.com.tr;dekorex.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
NET TURİSTİK YAYINLAR SAN. TİC. AŞ;19 MAYIS CAD. NO.13 KAT.7;İSTANBUL;ŞİŞLİ;(212) 2591921;http://www.netyayin.com.tr;netyayin.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SİLLASBELLA SANDALYE MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ORHANTEPE MAH. ALASKA SK. NO: 11;İSTANBUL;KARTAL;(216) 0000000;http://www.sillasbella.com;sillasbella.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SU ES DIŞ TİCARET LİMİTED ŞİRKETİ;RÜZGARLIBAHÇE MAH. KUMLU SK. NO: 3 / 16;İSTANBUL;BEYKOZ;(216) 4114044;www.suestrade.com;suestrade.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
OKOTEK CEVRE TEKNOLOJI VE KIMYA SANAYİ ANONİM ŞİRKETİ;ISTANBUL DÜNYA TIC.MER.A1 BL.KAT 15 NO.453;İSTANBUL;BAKIRKÖY;02124653941;www.okotek.com.tr;okotek.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ÇOBANTUR TURİZM TİC. VE NAKLİYAT A.Ş.;FERHATPASA B.BAKKALKOY YOLU;İSTANBUL;MALTEPE;(216) 5646464;http://www.cobantur.com;cobantur.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
STİLL OFİS MOBİLYA SAN.VE TİC.LTD.ŞTİ;İOSB HESKOP SANAYİ SİT M8 BLOK NO:133;İSTANBUL;BAŞAKŞEHİR;(212) 6750312;www.stillofis.com;stillofis.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
FABRİKA KARTON VE AMBALAJ SANAYİ ANONİM ŞİRKETİ;ALTINTEPE MAH.DEĞİRMEN YOLU CAD.NO:8 İÇ KAPI NO:4;İSTANBUL;MALTEPE;(216) 3649957;www.fabrikaambalaj.com;fabrikaambalaj.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
DİLEK TEKS. VE GIDA ÜRÜN. LTD. ŞTİ. ;HALKALI CD.KONFOR SK.NO:14/1;İSTANBUL;KÜÇÜKÇEKMECE;(212) 4269099;www.dilektekstil.com;dilektekstil.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
CR ETİKET SAN. VE TİC. AŞ ;BAŞAKLI SOK.N.29/1;İSTANBUL;GÜNGÖREN;(212) 5070808;www.cretiket.com.tr;cretiket.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
PÜRKAY BOYA VE KIMYA SAN.A.Ş.;ISTANBULCAD.2.KEMER MEVKIIGÖKŞIN SOKAK;İSTANBUL; ;(212) 3600049;www.purkay.com;purkay.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
AYHAN KASIMOĞLU - YENİ ADİL MOBİLYA MOB İML.VE SAT;MAHMUDİYE MAH. 14. MOBİLYA SOK 1/ G ;BURSA;İNEGÖL;(224) 7159122;www.adilmobilya.com;adilmobilya.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
AKKAYA DEKORASYON HIRDAVAT ORMAN ÜRÜNLERI INSAAT OTOMOTIV SANAYI VE TICARET LIMITED STI;MECLIS MAH. ANKARA CAD. NO: 14 IÇ KAPI NO: 1 ;İSTANBUL;SANCAKTEPE;(216) 6223858;http://www.akkayadekorasyonhirdavat.com/iletisim/;akkayadekorasyonhirdavat.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ROSİDA NARGİLE TÜTÜN TÜ.MAM.İMA.OTO.İNŞ.TEKS.GI.İTH.İHR.SAN.TİC.A.Ş.;MAHMUTBEY MAH. 2435 SOK.NO:1;İSTANBUL;BAĞCILAR;(212) 6546654;http://www.rosi?da.com.tr;rosi;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
OTOMASYON ETIKET BASKI VE AMB. SAN.VE TIC.LTD.ŞTI;KIŞLA CAD.INCIRLIK SK.GÜNDOĞDU2 IŞ MERK.NO:1/90-91;İSTANBUL;EYÜP;(212) 5656624;www.otomasyonetiket.com.tr;otomasyonetiket.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
MEFA DİZAYN MOBİLYA DEKORASYON MAKİNE SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ÇATALÇEŞME MAH.SARAY CD. N.156/A;İSTANBUL;ÇEKMEKÖY;(216) 5616332;http://www.mefadizayn.com;mefadizayn.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SERDAR MOBILYA DEKORASYON INŞ. SAN.TIC.LTD.ŞTI.(K.GAZATESI);ORTABAYIR MAH.DUTLUK SOKAK 3;İSTANBUL;KAĞITHANE;(212) 2786721;www.serdarmobilya.com.tr;serdarmobilya.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SHARP EDGE REKLAMCILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ;İNKILAP MAH. UMMAN SK. NO: 4 İÇ KAPI NO: 1 ;İSTANBUL;ÜMRANİYE;(216) 0000000;www.sharpedge.com.tr;sharpedge.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ART BOYA MALZ.KIRT.VE TURIZM DIŞ TIC.LTD.ŞTI;İÇERENKÖY MAH.DÖNDÜ SOK.NO:8/A;İSTANBUL;ATAŞEHİR;(216) 5753625;www.artboya.com;artboya.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
DEMPAR DEMIRCIOĞLU AĞAÇ SAN.VE DIŞ TIC.AŞ.;HANLIÖY ANDAL MEVKİİ E-25 KARAYOLU ÜZERİ;SAKARYA;ARİFİYE;(264) 2911005;www.demparparke.com.tr;demparparke.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
INTELLIGENT DESİGN MİMARLIK DEKORASYON SANAYİ VE TİCARET ANONİM ŞİRKETİ;KÜÇÜKBAKKALKÖY MAH.DEFNE SK. FLORA RESİDANCENO:1/234(1710) ;İSTANBUL;ATAŞEHİR;(212) 2749055;http://www.intelligentdesign.com.tr;intelligentdesign.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
AVİ MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;19 MAYIS CAD.19 MAYIS APT.NO:21/A;İSTANBUL;ŞİŞLİ;(212) 2126837;www.avimobilya.com.tr;avimobilya.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
VİLMORİN MİKADO TOHUMCULUK ANONİM ŞİRKETİ;"GÜZELYALI,BATI SAHILI,ÇIFTLIKSK. NO:9";İSTANBUL;PENDİK;(216) 3923604;www.anadolutuhum.com;anadolutuhum.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
N VE H MEDİKAL İTHALAT İHRACAT PAZARLAMA VE TİCARET ANONİM ŞİRKET;TURGUTREİS MAH.BARBAROS CAD.GİYİMKENT B.3 B 105 NUMARA:17;İSTANBUL;ESENLER;(212) 4388145;www.nhmedical.com.tr;nhmedical.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ADIYAMANLAR ORM.ÜRÜN.PAKETLEME AMB.SAN.VE TİC.A.Ş.;RÜSTEMPAŞA MAH.İPEK YOLU CAD.ADIYAMAN SOK.;SAKARYA;SAPANCA;(264) 5825759;www.adiyamanlar.com;adiyamanlar.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
CELAL TER - ZOWLİ AKSESUAR;MAHMUDİYE MH. 23.MOBİLYA SK. NO:51;BURSA;İNEGÖL;(224) 7185192;www.mazzinifurniture.com;mazzinifurniture.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
MC TRANS ULUSLARARASI NAKLİYAT VE TİCARET LİMİTED ŞİRKETİ;19 MAYIS MAH. K. ATATÜRK CAD. NO:38/7;İSTANBUL;BÜYÜKÇEKMECE;(850) 4950058;http://www.mctrans.com.tr;mctrans.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ÖZDEMİR DAY.TÜK.MALL.TEKS.MOB. İNŞ.TAAH.SAN.VE LTD.ŞTİ.;KARAALİ MAH. GRİ CAD. NO:6;BURSA;NİLÜFER;(224) 4824527;www.bafmobilya.com;bafmobilya.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
LOTS OF LOGİSTİCS TAŞIMACILIK LİMİTED ŞİRKETİ;YAKUPLU MAH. 64. SOK. NO: 24 / 4;İSTANBUL;BEYLİKDÜZÜ;(216) 5743414;https://www.lotsoflogistics.com;lotsoflogistics.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
LÜTFI TERZI;YUKARI DUDULLU MAH. 3. CAD. NO:117;İSTANBUL;ÜMRANİYE;(216) 5266288;http://www.faithdesign.com.tr;faithdesign.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
PERFUMERY SOLUTIONS KOZMETİK SAN. VE TİC. LTD. ŞTİ.;AKÇABURGAZ MH.3028.SK. NO:1/45 ;İSTANBUL;ESENYURT;(212) 5258080;http://www.perfumerysolutions.com/en-us//home/contact;perfumerysolutions.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ORHAN ARACIKAN ARACIKAN KOLTUK;YENI SAN.DIRILIŞ CAD.NO.13;BURSA;İNEGÖL;(224) 7185070;www.aricikankoltuk.com;aricikankoltuk.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
DUR-SAN LASTİK SAN. VE TİC. LTD. ŞTİ.;YAŞAR DOĞU SK.NO:27 AYRANCISİT.;İSTANBUL;BAYRAMPAŞA;(212) 5018130;www.dur-san.com;dur-san.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
EGELILER AHSAP SANAYI TICARET LIMITED SIRKETI;GÜLLÜBAĞLAR MAH. TANDOĞAN CAD. SARI SALKIM SK. NO 2/A;İSTANBUL;PENDİK;(216) 3072911;egelilerahsap.com.tr;egelilerahsap.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SAFİR RAF VE MAĞAZA SİS AĞAÇ METAL SAN.TİC.VE DIŞ TİC.LTD.ŞTİ;HALKALI CAD.FEVZİ ÇAKMAK MAH.NO:207 ;İSTANBUL;KÜÇÜKÇEKMECE;(212) 6241926;www.safirraf.com;safirraf.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
RECEP HOCAOĞLU - YİĞİT CONCEPT;YAKUPLU MAH. MAREŞAL FEVZİ ÇAKMAK CAD. - KONUT  NO: 87 İÇ KAPI NO: 5;İSTANBUL;BEYLİKDÜZÜ;(212) 0000000;https://www.yigitconcept.com.tr;yigitconcept.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
AZRA GRUP DIŞ TİCARET LTD. ŞTİ.;MALTEPE MAH. DAVUTPAŞA CAD.NO:3/1 NO:37 ;İSTANBUL;ZEYTİNBURNU;(212) 9995878;www.azragrupdisticaret.com;azragrupdisticaret.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
YEŞİNEL LOJİSTİK VE ANTREPO HİZMETLERİ LİMİTED ŞİRKETİ;DİZDARİYE MAHALLESİ ENVERPAŞA CADDESİERYILMAZ APT.NO:2 KAT:1 ;İSTANBUL;BÜYÜKÇEKMECE;(212) 8834582;http://www.yesinellojistik.com.tr;yesinellojistik.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ERKOL OYUNCAK SAN.VE TıC.LTD.ŞTİ;İSTOÇ TOPTANCI ÇARŞISI 14/ADA NO:9-11-13-15-17-19-21 MAHMUTBEY ;İSTANBUL;BAĞCILAR;(212) 0000000;www.erkoloyuncak.com.tr;erkoloyuncak.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
POLHAS POLY.PLS.İNŞ.PAZ.SAN.VE TİC.LTD.ŞTİ.;ESENLER MAH.AZİZOĞLU CAD.NO.4;İSTANBUL;PENDİK;(216) 5960288;www.polhas.com;polhas.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
HISAR LOJISTIK TUR.INS.VE DIS TIC.LTD.STI.;HALKALI CAD. PTT SOK. NO:1 K:3;İSTANBUL;KÜÇÜKÇEKMECE;(212) 4267051;www.hisargroup.com;hisargroup.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ECOPAB KARTON SANAYİ VE TİCARET A.Ş.;ABDURRAHMAN NAFİZ GÜRMAN MAH. GENERAL ALİ RIZA GÜRCAN CAD NUMARA:27 PLATFORM MERTER SUİTS B BLOK KAT:5 D:56;İSTANBUL;GÜNGÖREN;(212) 2546558;www.ecopab.com;ecopab.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
DECORCONCEPT DIŞ TİCARET LİMİTED ŞİRKET;KOZA MAH. 1639. SK. MİMSAN SİTESİ E2 BLOK NO: 9;İSTANBUL;ESENYURT;(212) 0000000;http://www.decorconcept.com.tr;decorconcept.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ELSEL GAZ ARMATÜRLERI SAN.VE TIC.AŞ;ÇAVUŞOĞLU MAH. SEDDÜLBAHİR CAD. NO:49;İSTANBUL;KARTAL;(216) 3064860;www.elsel.com.tr ;elsel.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SEMBOL MATBAA CİLT MALZEMELERİ İÇ VE DIŞ TİC. LTD.ŞTİ;ZORUNLU ALANMAHMUTBEY MAH. İSTOÇ 2408 SOK NO:15;İSTANBUL;BAĞCILAR;(212) 4292931;www.sembol.com.tr;sembol.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
