firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
MENGİ-YAY YATÇILIK TURİZM SAN. VE TİC.A.Ş.;TERSANELER MEVKİİ NUH SİT.A.BLNO.2;İSTANBUL;TUZLA;(216) 3950564;www.mengiyat.com;mengiyat.com;İİB-GEMİ
BR GROUP TEKNE İTHALAT İHRACAT LİMİTED ŞİRKETİ;FULYA MAH.BÜYÜKDERE CAD.QUASAR NO:76 İÇ KAPI NO:18;İSTANBUL;ŞİŞLİ;(850) 3093712;http://www.brgroup.com.tr;brgroup.com.tr;İİB-GEMİ
ÜNLÜ PERVANE MARİN SEVK SİSTEM.SAN. VE TİC.LTD.ŞTİ;DUDULLU OSB. İMES A BLOK 105.SK NO:5;İSTANBUL;ÜMRANİYE;(216) 3643221;www.unlupervane.com;unlupervane.com;İİB-GEMİ
FABBRO YATÇILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ ;AYDINTEPE MAH. GÜZİN SOK. ADA TERSANESİ NO:1;İSTANBUL;TUZLA;(216) 3340111;http://www.fabbroyachts.com;fabbroyachts.com;İİB-GEMİ
RMK MARINE GEMI YAPIM SAN.VE DENIZ.TAŞM.IŞLETMESI A.Ş;ÖZEL SEKTÖR TERSANELER BÖLG.NO:13İÇMELER MEVKİİ;İSTANBUL;TUZLA;(216) 3952865;www.rmkmarine.com.tr;rmkmarine.com.tr;İİB-GEMİ
SES YACHTS DENIZ ARAÇLARI SAN. VE TİC. LTD. ŞTİ.;AYDINTEPE MAH. KIZILÇAM SOK. A BLOK NO:2/3;İSTANBUL;TUZLA;(216) 4931582;www.sesyachts.com;sesyachts.com;İİB-GEMİ
ÜÇGEN GLOBAL DENİZCİLİK VE TAŞIMACILIK TİC.LTD.ŞTİ;BAĞLARBAŞI MAH. ATATÜRK CAD. SAKARYA SOK MALTE MALTE PLAZA NO:35/3/310 ;İSTANBUL;MALTEPE;(216) 7061026;3angletransport.com;3angletransport.com;İİB-GEMİ
YILDIRIM SOĞUTMA VE BOBİNAJ SAN DIŞ TİC.LTD.ŞTİ;ŞEHİTMUHTAR MAH.ALTINBAKKAL SOK NO:10 ;İSTANBUL;BEYOĞLU;(212) 2551111;www.yildirimsogutma.com;yildirimsogutma.com;İİB-GEMİ
DEARSAN GEMİ İNŞAAT SANAYİ A. Ş.;AYDINTEPE MAH. RAUF ORBAY CAD.NO:2 ;İSTANBUL;TUZLA;(216) 3957575;www.dearsan.com.tr ;dearsan.com.tr;İİB-GEMİ
KIZIL KAYAN YATÇILIK TURZ.SAN..VE TIC.LTD.ŞTI.;EVLİYA ÇELEBİ MAH. TERSANELER BÖLGESI NUH SAN.SITESI A BLOK NO:1;İSTANBUL;TUZLA;(216) 3952931;www.kizilkayan.com;kizilkayan.com;İİB-GEMİ
AS-EL METAL TURİZM İNŞ.SAN.VE DIŞ TİC.LTD.ŞTİ;ATATÜRK MAH.MARMARA SAN.SİT. N BLOK NO:340;İSTANBUL;KÜÇÜKÇEKMECE;(212) 4721232;www.asemetal.com;asemetal.com;İİB-GEMİ
ALEMDAR MARİN TEKNOLOJİ DENİZ ARAÇLARI SAN.VE TİC.LTD.ŞTİ.;29 EKİM MAH. 9211 SOK. NO:6/1 YAZIBAŞI ;İZMİR;TORBALI;(232) 8538786;www.alemdarmarine.com;alemdarmarine.com;İİB-GEMİ
