firma_adi;adres;telefon;website;domain;birlik
AGATE MERMERCİLİK OTOMOTİV REKLAMCILIK DIŞ TİCARET LİMİTED ŞİRKETİ;FULYA MAHALLESİ BÜYÜKDERE CADDESİ TORUN CENTER D BBLOK NO:74D İÇ KAPI NO :10 ŞİŞLİ İSTANBUL;(212) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
AGE ENERJİ ÜRETİM ANONİM ŞİRKETİ;TAHRAN CAD.NO:19/6 ÇANKAYA ANKARA;(216) 5743949;;;İMİB - İstanbul Maden İhracatçıları Birliği
AGEL YAPI KIMYASALLARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KURTKOY MH. ANKARA CD . SELVI BOYLUM SOK.NO : 6D:17 PENDİK İSTANBUL;;;;İMİB - İstanbul Maden İhracatçıları Birliği
AGFA MİMARLIK İNŞAAT DAN. İÇ VE DIŞ TİC. LTD. ŞTİ.;EVLİYA ÇELEBİ MAH. SADİ KONURALP CAD. IKSV VAKFI NO: 5 İÇ KAPI NO: 2 BEYOĞLU İSTANBUL;(212) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
AGI İNŞAAT MALZEMELERİ SAN.TİC.LTD.ŞTİ.;KURTKÖY MAH.ANKARA CAD.YELKENPLAZA NO:289/21 PENDİK İSTANBUL PENDİK İSTANBUL;(216) 5072121;;;İMİB - İstanbul Maden İhracatçıları Birliği
AGK MOBİLYA GIDA TURİZM SAN. VE DIŞ TİC. A.Ş.;BAĞLARBAŞI MAH.BAĞDAT CAD.N:483/5 MALTEPE İSTANBUL;(216) 3704256;;;İMİB - İstanbul Maden İhracatçıları Birliği
AGM YEDEK PARCA VE MAKINE SAN TIC. LTD. ŞTİ.;CEMIL MERIC MAH.BESTEKAR SOKBIRLIK SIT.D BLOK 3A/23 PK:34771 ÜMRANİYE İSTANBUL;(216) 2905183;www.agmticaret.com;agmticaret.com;İMİB - İstanbul Maden İhracatçıları Birliği
AGS ENDÜSTRİ ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;ATATÜRK MH. ATAŞEHİR BULV. GARDENYA PLAZA 5 NO:5/1 ATAŞEHİR/İSTANBUL ATAŞEHİR İSTANBUL;(216) 4554419;;;İMİB - İstanbul Maden İhracatçıları Birliği
AĞA MAKİNA KAUÇUK TİC. LTD. ŞTİ.;EĞİTİM MAH. POYRAZ SOK. NO:1-37HASANPAŞA KADIKÖY İSTANBUL;(216) 4180759;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHA MÜHENDİSLİK TEKNOLOJİLERİ İNŞAAT TAAHHÜT LİMİTED ŞİRKETİ;AYAZAĞA MAH.MİMAR SİNAN SK. B BLOK NO:21B İÇ KAPI SARIYER İSTANBUL;(212) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHDE SANAT İÇ VE DIŞ TİCARET LTD. ŞTİ.;CEVİZLİ MAH. MALATYA SK. CAN APT. NO:2 C KARTAL İSTANBUL;(216) 4522199;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHLATO DOĞAL TAŞ MADENCİLİK SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;BAHŞAYİŞ MAH. KURUÇEŞME CAD. NO:6 ÇATALCA İSTANBUL;(212) 4820202;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHMED ELMAHMUD;İKİTELLİ OSB.MAHALLESİ TÜMSAN 2 KISIM C BLOKSOKAĞI NO:1C-1C BLOK/68 BAŞAKŞEHİR İSTANBUL;(212) 8038385;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHMET MÜNİR KARACABEY;MİMAR SİNAN MAH. YEDPA TİC. MERKZ. D CADDESİ NO:57 ATAŞEHİR İSTANBUL;(216) 5276908;www.homeorbis.com;homeorbis.com;İMİB - İstanbul Maden İhracatçıları Birliği
AHMET ŞEN;SULTAN SELİM MAH. IŞIN SK. NO:5 KAPI NO:1 PK:34100 KAĞITHANE/İSTANBUL KAĞITHANE İSTANBUL;(212) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHMET UZUN;SÜLEYMANİYE MAHALLESİ SİVAVUŞPAŞA SOKAK SİYAVUŞPAŞA HAN NO: 16 / A FATİH İSTANBUL;(212) 2534483;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHMET ÜMİT İZGÖREN;YENİBOSNA MERKEZ MAH. SADETTİN KAYNAK SK. PİLOTLAR BAHÇELİEVLER İSTANBUL;(850) 2038132;;;İMİB - İstanbul Maden İhracatçıları Birliği
AHŞAP ÜRÜNLER SANAYİ ANONİM ŞİRKETİ;EMEK MAH. SİVAT CADDESİ NO.7 34785 SANCAKTEPE İSTANBUL;(216) 4664343;www.ahsap.com.tr;ahsap.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AK ALEV ATES TUGLASI TIC.VE SAN.LTD.STI.;VALIKONAĞI CAD.ESERPALASNO:125 D:12 34363 ŞİŞLİ İSTANBUL;02122460667;www.akalev.com.tr;akalev.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
AK EL CAMLAMA SİSTEMLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ;AFYONKARARAHİSAR OSB MAH. 5.CAD. NO:10B/1 MERKEZ AFYON;(272) 2134525;;;İMİB - İstanbul Maden İhracatçıları Birliği
AK ENDÜSTRİ MALZEMELERİ SAN. VE TİC. LTD. ŞTİ.;TANATVİ MAH ESTERGON CAD EXEN İSTANBUL F BLOK NO:24 F İÇ KAPI NO:403 ÜMRANİYE İSTANBUL;(212) 5353312;;;İMİB - İstanbul Maden İhracatçıları Birliği
