firma_adi;adres;telefon;website;domain;birlik
URAL MAKSAN MAKİNA İNŞAAT DEMİR VE ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ABDIBEY M.ABDIBEY CD. Merkez SAKARYA;02642765920;www.uralmaksan.com;uralmaksan.com;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
UKINOX ANKASTRE SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ;İÇERENKÖY MH ÜSKÜDAR İÇERENKÖY YOLU CD VIP CENTER NO:10 A ATAŞEHİR İSTANBUL;(212) 8869598;www.ukinox.com.tr;ukinox.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ALBOND ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ;AYAZAĞA MH. MİMAR SİNAN SK. DBL. NO:15 AYAZAĞA 34217 SARIYER İSTANBUL;(282) 6611010;www.albond.com.tr;albond.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
AHMET AYKUT EKLER DEMIR TEKS. GID.INS.O.S.V.TIC.LTD.STI.;GULBAHCE MAH.GURGEN SOK.NO.27 OSMANGAZİ BURSA;02242565900;www.eklerprofil.com;eklerprofil.com;ÇİB - Çelik İhracatçıları Birliği
AKA BİLİŞİM YAZILIM ARGE İNŞAAT TAAH. SAN. TİC. A.Ş.;ATAKENT MAH. BARIŞ SOKAK NO:20 ÜMRANİYE İSTANBUL;(216) 2100888;http://www.aka.com.tr;aka.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
ALTEM ALUMINYUM INS.DEKORASYON TEKS.IHR.ITH.SAN.TIC.LTD.STI.;CAVUSBASI ÇIFLIK MH ÇAMLIK CAD.ÇAMLIK ÇIKMAZI NO 4 BEYKOZ İSTANBUL;02164799686;www.altemaluminyum.com;altemaluminyum.com;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
DELTA TRADE COMPANY SAĞLIK ANONİM ŞİRKETİ;BAŞAKŞEHİR - İKİTELLİ - ATATÜRK BULVARI NO. 72 BAŞAKŞEHİR İSTANBUL;(212) 2215700;www.delta-trade-company.com;delta-trade-company.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği, JTR - Mücevher İhracatçıları Birliği
DELTA İNŞAAT MALZ.GIDA TEKSTİL OTOM.TUR.SAN.VE DIŞ TİC.LTD.ŞTİ.;ORUÇ REİS MAHALLESİ VADİ CADDESİ GİYİMKENT SİTESİ NO:170/117 ESENLER İSTANBUL;(212) 2241888;www.deltatr.net;deltatr.net;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
DENPAR MAKİNA SAN. TİC. A.Ş.;ÖZBEK SOK. NO:01 KAVACIK BEYKOZ ANADOLUHİSARI BEYKOZ İSTANBUL;(212) 3461332;www.denpar.com;denpar.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
IDEA MAKİNA İMALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ISTANBUL DERI ORGANIZE SAN BÖL SAMA CAD 12 YOL NO 7 (34959) TUZLA İSTANBUL;(216) 3134277;www.ideajenerator.com;ideajenerator.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ÖZÇELİK DIŞ TİC. A.Ş.;ANADOLU MAH. KANUNİ CAD. NO:8 TUZLA İSTANBUL;02163042010;www.ozcelik.com;ozcelik.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
