firma_adi;adres;telefon;website;domain;birlik
MONO ELEKTRİK MALZEMELERİ SAN. VE DIŞ TİC. LTD.ŞTİ.;AKPINAR SANAYİ BÖLGESİ - YASSIÖREN KÖYÜ HADIMKÖY CAD. NO:162 ARNAVUTKÖY İSTANBUL;(212) 5498478;www.monoelectric.com.tr;monoelectric.com.tr;ÇİB - Çelik İhracatçıları Birliği
METALART MAKİNA SANAYİ VE TİCARET ANONİM ŞİRKETİ;SULTAN ORHAN MAH. 1162 SOK. NO:5/A GEBZE KOCAELİ;(262) 6449867;www.metalartsan.com;metalartsan.com;ÇİB - Çelik İhracatçıları Birliği
AKELSA AYDINLATMA ELEKTRİK ENERJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KURTULUŞ MAH. VATAN CAD. NO:86/B ODUNPAZARI ESKİŞEHİR;;www.akelsa.com;akelsa.com;ÇİB - Çelik İhracatçıları Birliği
ZARIFSAN MAKINA VE YEDEK PARCA SAN.TIC. A.Ş.;DOGU SANAYI SIT 8.BLOK NO:2 İSTANBUL;02125520395;www.zarifsan.com.tr;zarifsan.com.tr;ÇİB - Çelik İhracatçıları Birliği
FEBKO KABARA VE ZIMBA SANAYİ TICARET LİMİTED ŞİRKETI;SELAHADDİN EYYÜBİ MAH. 1632. SOK. NO:36 ESENYURT İSTANBUL;(212) 8867549;www.febkokabara.com;febkokabara.com;ÇİB - Çelik İhracatçıları Birliği
NOVA PLASTIK SANAYI VE TICARET A.S.;MURATPAŞA MH ULUYOL CD İSTANBUL TOWER NO:17-19 K:10/48 BAYRAMPAŞA İSTANBUL;(212) 6124243;www.novaplastik.com;novaplastik.com;ÇİB - Çelik İhracatçıları Birliği
NORM MÜHENDİSLİK ELEKTRİK İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ.;SANAYİ MAH.TUFANOĞLU SOK.N:78 İZMİT KOCAELİ;(262) 3356005;www.normmuhendislik.com.tr;normmuhendislik.com.tr;ÇİB - Çelik İhracatçıları Birliği
SIES ELEKTRIK MUMESSILLIK SAN. VE TIC.LTD.STI.;YESILCE MH.DOSTLUK SK.NO:4 BEŞİKTAŞ İSTANBUL;02123240098;www.sies.com.tr;sies.com.tr;ÇİB - Çelik İhracatçıları Birliği
Fİ ÇELİK METAL YAPI İNŞAAT SAN. VE TİC. LTD. ŞTİ.;YENİ MAH. 5101/2 SOK. NO:2 ÇAYIROVA KOCAELİ;(262) 6533198;www.ficelik.com.tr;ficelik.com.tr;ÇİB - Çelik İhracatçıları Birliği
FIBRE TEKSTİL TURİZM İNŞAAT SAN.VE TİC.LTD.ŞTİ;BOĞAZKÖY İSTİKLAL MAH. SEVDA SOK. NO:61/A ARNAVUTKÖY İSTANBUL;(212) 6594883;www.fibreteks.com.tr;fibreteks.com.tr;ÇİB - Çelik İhracatçıları Birliği
PROFİLSAN YAPI PROFİLLERİ SAN.VE TİC.LTD.ŞTİ.;ÇAKIL MAH. ELBASAN CAD. NO:77/A ÇATALCA İSTANBUL;(212) 7714121;www.profilsan.net;profilsan.net;ÇİB - Çelik İhracatçıları Birliği
CNR DEMİR ÇELİK SAN. VE TİC.A.Ş.;VEYSEL KARANİ MAH.17.YILDIZ SK.NO:15-17/A OSMANGAZİ BURSA;(224) 2150150;www.cnrdemir.com;cnrdemir.com;ÇİB - Çelik İhracatçıları Birliği
INSEL YAPI VE TEKNIK DONATIM SIST.LTD.STI.;İÇERENKÖY MAH. ŞEHİTLER CAMİ SOK. NO.4/A ATAŞEHİR İSTANBUL;(216) 5730935;www.inselltd.com;inselltd.com;ÇİB - Çelik İhracatçıları Birliği
BASRA DEMİR ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ESENŞEHİR MAH. BAŞARI SOK. NP.9/A YUKARIDUDULLU ÜMRANİYE İSTANBUL;(216) 3644245;www.basrademircelik.com;basrademircelik.com;ÇİB - Çelik İhracatçıları Birliği
BULUTLU MAKİNE SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;AYDINLI SB MAH. 9. SK. TTM NO:2 / Z01 TUZLA İSTANBUL;(216) 4464795;https://www.bulutlumarine.com/tr-tr;bulutlumarine.com;ÇİB - Çelik İhracatçıları Birliği
MOTTO DANIŞMANLIK MÜHENDİSLİK VE TEKNOLOJİ LİMİTED ŞİRKETİ;ORHANLI MH. DERVİŞ CD NO:24 GAT PLAZA K:2 TUZLA İSTANBUL;(216) 4837434;www.motto-tr.com;motto-tr.com;ÇİB - Çelik İhracatçıları Birliği
HATKO TEKNİK DONANIMLAR MÜMESSİLLİK VE TİC. AŞ;VİŞNEZADE MAH. ACISU SK. NO:15 BEŞİKTAŞ İSTANBUL;(212) 2589983;www.hatko.com;hatko.com;ÇİB - Çelik İhracatçıları Birliği
EPSILON NDT ENDUSTRIYEL KONTROL SISTEMLERI SANAYİ VE TICARET ANONİM ŞİRKETİ;19 MAYIS MH.DR.ŞEVKET BEY SK.POLAT ÇİFTÇİLER APT. NO:3/A-B ŞİŞLİ İSTANBUL;(212) 2310303;www.epsilon-ndt.com;epsilon-ndt.com;ÇİB - Çelik İhracatçıları Birliği
ÇAĞSAN MERDİVEN VE ERİŞİM EKİPMANLARI SAN. TİC. LTD.ŞTİ.;DİLOVASI ORGANİZE SANAYİ BÖLGESİ 3.KISIMMERİÇ CAD. NO:1 GEBZE KOCAELİ;(262) 7591808;www.cagsanmerdiven.com;cagsanmerdiven.com;ÇİB - Çelik İhracatçıları Birliği
ZEM RAF MAKİNA METAL GERİ DÖNÜŞÜM SAN VE TİC AŞ.;KÖŞKLÜ ÇEŞME MAH.562. SK. NO:13 GEBZE KOCAELİ;(262) 3200723;www.zemraf.com;zemraf.com;ÇİB - Çelik İhracatçıları Birliği
SOLARELA ENERJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;29 EKİM MH İZMİR YOLU CD C BLOK NO:376 C /18 NİLÜFER BURSA;(224) 5032555;www.salarela.com.tr;salarela.com.tr;ÇİB - Çelik İhracatçıları Birliği
METAFACADE CEPHE SİSTEM MÜHENDİSLİĞİ LİMİTED ŞİRKETİ;MECLİS MAH. DERVİŞ SK. FUAT ÖZAL NO: 38 İÇ KAPI NO:3 ÇEKMEKÖY İSTANBUL;(216) 9120810;http://www.metafacade.com.tr;metafacade.com.tr;ÇİB - Çelik İhracatçıları Birliği
CAMPACX MİMARLIK İNŞAAT BİLİŞİM SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;CEVİZLİ MAH. TUGAY YOLU CAD. PİAZZA AVM NO: 69C İÇKAPI NO: 222 MALTEPE İSTANBUL;(216) 0000000;http://www.campacx.com;campacx.com;ÇİB - Çelik İhracatçıları Birliği
TOYO MATBAA MÜREKKEPLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;MANİSA ORG. SAN. BÖL. 5.KISIM HASAN TÜREK BULVARI NO:6 YUNUS EMRE MANİSA;(236) 2265038;www.dyo.com.tr;dyo.com.tr;ÇİB - Çelik İhracatçıları Birliği
LİNK YAPI SAN. VE TİC. A.Ş.;GOSB 1000. SK NO:1016 ÇAYIROVA KOCAELİ;(262) 4445465;www.linkyapi.com.tr;linkyapi.com.tr;ÇİB - Çelik İhracatçıları Birliği
GROSS FLEX GEMİ İNŞA HİDROLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KARAKÖPRÜ MAH. ÖMER SEYFETTİN CAD. NO:6/2A GÖLCÜK KOCAELİ;(262) 0000000;https://www.grossflex.com/ileti%c5%9fim;grossflex.com;ÇİB - Çelik İhracatçıları Birliği
BURLA DEMİR ÇELİK ANONİM ŞİRKETİ;SAN.1 3.BOLGE 6.CAD.UGURMUMCU SK.NO.4 BÜYÜKÇEKMECE İSTANBUL;02128869456;www.naciuyar.com.tr;naciuyar.com.tr;ÇİB - Çelik İhracatçıları Birliği
BBS METAL MONTAJ ELEKTRIK SAN.VE TIC.LTD.STI.;SULTAN ORHAN MAH. HASKÖY SAN. SİT NO.15 SARIYER İSTANBUL;(212) 6428999;www.bbsmetal.com.tr;bbsmetal.com.tr;ÇİB - Çelik İhracatçıları Birliği
KEMAL ÖZDEMİR;SAKARYA MAHALLESİ 5. GÜLER SOKAĞI NO:4-BANUŞOĞLU İŞ MERKEZİ /204 OSMANGAZİ BURSA;;http://elenzadesign.com;elenzadesign.com;ÇİB - Çelik İhracatçıları Birliği
4M ALTIN ELEKTRİK İNŞAAT TEKS.GIDA SAN.VE TİC.A.Ş.;BAĞLARBAŞI MAH.1. HÜRRİYET CD.NO:178 OSMANGAZİ BURSA;(224) 4446816;www.4maltinelektrik.com.tr;4maltinelektrik.com.tr;ÇİB - Çelik İhracatçıları Birliği
